Site,Longitude,Latitude,Elevation (ft),Date,tmean_C
C03,-105.2946,40.1656,6266,7/12/2020,
C03,-105.2946,40.1656,6266,7/13/2020,
C03,-105.2946,40.1656,6266,7/14/2020,
C03,-105.2946,40.1656,6266,7/15/2020,
C03,-105.2946,40.1656,6266,7/16/2020,
C03,-105.2946,40.1656,6266,7/17/2020,
C03,-105.2946,40.1656,6266,7/18/2020,
C03,-105.2946,40.1656,6266,7/19/2020,
C03,-105.2946,40.1656,6266,7/20/2020,
C03,-105.2946,40.1656,6266,7/21/2020,
C03,-105.2946,40.1656,6266,7/22/2020,
C03,-105.2946,40.1656,6266,7/23/2020,
C03,-105.2946,40.1656,6266,7/24/2020,
C03,-105.2946,40.1656,6266,7/25/2020,
C03,-105.2946,40.1656,6266,7/26/2020,
C03,-105.2946,40.1656,6266,7/27/2020,
,,,,,
